Chronon Stage,System Depth,dt,Time | Depth Differential,Sommerfeld's Constant,McElveen's EQ,"Information Creation/ ""Distance to Event Horizon"" Rceh [Glyr]",Entropic Error Rate,pi(n),2(pi)*(EQ),,(C*pi)*(B/C),,,,,,2pi(n)+((Cpi*C/2)+2pi),,CAM Equation,x/lnx,difference u-v,t/u,li(x),g^-1,,
1,2,2,1,0.5,1,0.6931471806,1.442695041,6.283185307,6.283185307,2.506628275,6.283185307,0.6931471806,2.17758609,6.283185307,6.283185307,,25.13274123,,3,2.885390082,-0.1146099182,1.039720771,2.885390082,1.442695041,1,0.5
2,3,2,0.6666666667,0.3333333333,1.5,1.504077397,0.6648594029,9.424777961,9.424777961,3.069980124,9.424777961,1.098612289,3.451392295,9.424777961,9.424777961,,31.41592654,,2.851708133,2.73071768,-0.1209904536,1.0443072,1.820478453,0.6648594029,1.5,0.1924500897
3,4,3,0.75,0.25,1.333333333,1.673976434,0.597379975,12.56637061,8.37758041,2.894405018,12.56637061,1.386294361,2.90344812,12.56637061,8.37758041,,45.55309348,,2.093836321,2.885390082,0.7915537604,0.7256683714,2.164042561,0.597379975,1.333333333,0.1574901312
4,5,2,0.4,0.2,2.5,2.525728644,0.395925351,15.70796327,15.70796327,3.963327298,15.70796327,1.609437912,5.056198322,15.70796327,15.70796327,,43.98229715,,3.213236632,3.106674673,-0.1065619594,1.034300971,1.242669869,0.395925351,2.5,0.01788854382
5,6,4,0.6666666667,0.1666666667,1.5,2.197224577,0.4551196133,18.84955592,9.424777961,3.069980124,18.84955592,1.791759469,2.814489193,18.84955592,9.424777961,,69.11503838,,1.868837189,3.348663759,1.47982657,0.5580844549,2.232442506,0.4551196133,1.5,0.06804138174
6,7,2,0.2857142857,0.1428571429,3.5,3.198673118,0.3126296321,21.99114858,21.99114858,4.6894721,21.99114858,1.945910149,6.113257029,21.99114858,21.99114858,,56.54866776,,3.689476894,3.597288397,-0.09218849722,1.025627219,1.027796685,0.3126296321,3.5,0.001101937239
7,8,4,0.5,0.125,2,2.772588722,0.3606737602,25.13274123,12.56637061,3.544907702,25.13274123,2.079441542,3.266379135,25.13274123,12.56637061,,81.68140899,,2.093836321,3.847186776,1.753350454,0.5442512785,1.923593388,0.3606737602,2,0.015625
8,9,3,0.3333333333,0.1111111111,3,3.295836866,0.3034130755,28.27433388,18.84955592,4.341607527,28.27433388,2.197224577,4.601856394,28.27433388,18.84955592,,76.96902001,,2.851708133,4.09607652,1.244368386,0.6962047998,1.36535884,0.3034130755,3,0.001371742112
9,10,4,0.4,0.1,2.5,3.218875825,0.3106674673,31.41592654,15.70796327,3.963327298,31.41592654,2.302585093,3.616892206,31.41592654,15.70796327,,94.24777961,,2.322850684,4.342944819,2.020094135,0.5348561358,1.737177928,0.3106674673,2.5,0.00316227766
10,11,2,0.1818181818,0.09090909091,5.5,4.102643365,0.2437452908,34.55751919,34.55751919,5.878564382,34.55751919,2.397895273,7.533210173,34.55751919,34.55751919,,81.68140899,,4.659790638,4.587356306,-0.07243433278,1.015789995,0.8340647828,0.2437452908,5.5,0.00000187214823
